column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
Batu Hijau Stockpiles(21),,52.875%,,—,,—,,—,,"86,400",,0.004,,300,,"86,400",,0.004,,300,,73,%
,,,,"148,600",,0.013,,"1,910",,"526,500",,0.010,,"5,300",,"675,100",,0.011,,"7,210",,80,%
"Ghana, West Africa",,,,,,,,,,,,,,,,,,,,,,,
Akyem,,85%,,—,,—,,—,,"109,400",,0.049,,"5,410",,"109,400",,0.049,,"5,410",,89,%
Ahafo,,100%,,—,,—,,—,,"156,900",,0.068,,"10,630",,"156,900",,0.068,,"10,630",,88,%
,,,,—,,—,,—,,"266,300",,0.060,,"16,040",,"266,300",,0.060,,"16,040",,88,%
Other Operations,,,,,,,,,,,,,,,,,,,,,,,
"Golden Giant, Ontario(30)",,100%,,—,,—,,—,,500,,0.31,,160,,500,,0.31,,160,,96,%
"Holloway, Ontario(31)",,93.87%,,500,,0.16,,80,,900,,0.19,,180,,"1,400",,0.18,,260,,94,%
"La Herradura, Mexico",,44%,,"11,300",,0.025,,280,,"11,000",,0.030,,330,,"22,300",,0.027,,610,,66,%
"Kori Kollo, Bolivia",,88%,,"5,900",,0.017,,100,,"16,600",,0.022,,370,,"22,500",,0.021,,470,,63,%
"Ovacik, Turkey(32)",,100%,,200,,0.38,,70,,200,,0.15,,30,,400,,0.25,,100,,96,%
"Zarafshan-Newmont, Uzbekistan",,50%,,"53,800",,0.037,,"1,940",,—,,—,,—,,"53,800",,0.037,,"1,940",,57,%
,,,,"71,700",,0.034,,"2,470",,"29,200",,0.037,,"1,070",,"100,900",,0.035,,"3,540",,64,%
Total Gold,,,,"520,100",,0.039,,"20,160",,"2,020,700",,0.036,,"72,270",,"2,540,100",,0.036,,"92,430",,81,%
