iso3,country_name_zh,country_name_en,region,subregion,currency_name,currency_code,country_role,inclusion_rule_note,run_id
NAM,纳米比亚,Namibia,Africa,南部非洲,纳米比亚元,NAD,operating,"M49 南部非洲主权国家,纳入亚非拉覆盖层",20260817_v42
ZAF,南非,South Africa,Africa,南部非洲,南非兰特,ZAR,operating,"M49 南部非洲主权国家,纳入亚非拉覆盖层",20260817_v42
ATG,安提瓜和巴布达,Antigua and Barbuda,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
BHS,巴哈马,Bahamas,LatinAmerica,加勒比,巴哈马元,BSD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
BRB,巴巴多斯,Barbados,LatinAmerica,加勒比,巴巴多斯元,BBD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
CUB,古巴,Cuba,LatinAmerica,加勒比,古巴比索,CUP,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
DMA,多米尼克,Dominica,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
DOM,多米尼加共和国,Dominican Republic,LatinAmerica,加勒比,多米尼加比索,DOP,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
GRD,格林纳达,Grenada,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
HTI,海地,Haiti,LatinAmerica,加勒比,海地古德,HTG,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
JAM,牙买加,Jamaica,LatinAmerica,加勒比,牙买加元,JMD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
KNA,圣基茨和尼维斯,Saint Kitts and Nevis,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
LCA,圣卢西亚,Saint Lucia,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
VCT,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,LatinAmerica,加勒比,东加勒比元,XCD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
TTO,特立尼达和多巴哥,Trinidad and Tobago,LatinAmerica,加勒比,特立尼达元,TTD,operating,"M49 加勒比主权国家,纳入亚非拉覆盖层",20260817_v42
BLZ,伯利兹,Belize,LatinAmerica,中美洲,伯利兹元,BZD,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
CRI,哥斯达黎加,Costa Rica,LatinAmerica,中美洲,哥斯达黎加科朗,CRC,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
SLV,萨尔瓦多,El Salvador,LatinAmerica,中美洲,美元,USD,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
GTM,危地马拉,Guatemala,LatinAmerica,中美洲,危地马拉格查尔,GTQ,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
HND,洪都拉斯,Honduras,LatinAmerica,中美洲,洪都拉斯伦皮拉,HNL,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
MEX,墨西哥,Mexico,LatinAmerica,中美洲,墨西哥比索,MXN,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
NIC,尼加拉瓜,Nicaragua,LatinAmerica,中美洲,尼加拉瓜科多巴,NIO,operating,"M49 中美洲主权国家,纳入亚非拉覆盖层",20260817_v42
PAN,巴拿马,Panama,LatinAmerica,中美洲,巴拿马巴波亚,PAB,channel,资金通道:以离岸金融/投资中转为主要中国资本通道功能;不进实体风险排名(DQ04),20260817_v42
ARG,阿根廷,Argentina,LatinAmerica,南美洲,阿根廷比索,ARS,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
BOL,玻利维亚,Bolivia,LatinAmerica,南美洲,玻利维亚诺,BOB,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
BRA,巴西,Brazil,LatinAmerica,南美洲,巴西雷亚尔,BRL,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
CHL,智利,Chile,LatinAmerica,南美洲,智利比索,CLP,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
COL,哥伦比亚,Colombia,LatinAmerica,南美洲,哥伦比亚比索,COP,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
ECU,厄瓜多尔,Ecuador,LatinAmerica,南美洲,美元,USD,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
GUY,圭亚那,Guyana,LatinAmerica,南美洲,圭亚那元,GYD,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
PRY,巴拉圭,Paraguay,LatinAmerica,南美洲,巴拉圭瓜拉尼,PYG,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
PER,秘鲁,Peru,LatinAmerica,南美洲,秘鲁索尔,PEN,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
SUR,苏里南,Suriname,LatinAmerica,南美洲,苏里南元,SRD,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
URY,乌拉圭,Uruguay,LatinAmerica,南美洲,乌拉圭比索,UYU,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
VEN,委内瑞拉,Venezuela,LatinAmerica,南美洲,委内瑞拉玻利瓦尔,VES,operating,"M49 南美洲主权国家,纳入亚非拉覆盖层",20260817_v42
PRI,波多黎各,Puerto Rico,LatinAmerica,加勒比,美元,USD,operating,非主权自由邦;项目定义为拉美覆盖层第 34 国(PROVISIONAL 待 G0 确认),20260817_v42
