date,broad_dollar_index,provenance_note
2022-03-17,116.0467,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-18,116.1378,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-21,115.9398,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-22,116.0824,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-23,116.005,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-24,115.9599,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-25,115.7921,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-28,116.1911,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-29,115.5679,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-30,115.0818,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-31,115.2218,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-01,115.4814,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-04,115.4112,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-05,115.73,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-06,115.9995,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-07,116.3512,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-08,116.4176,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-11,116.5401,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-12,116.3866,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-13,116.2796,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-14,116.7558,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-15,116.7017,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-18,116.8441,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-19,117.1324,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-20,116.7306,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-21,117.1432,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-22,118.0186,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-25,118.6271,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-26,118.9624,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-27,119.4708,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-28,120.0675,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-04-29,119.4933,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-02,119.8825,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-03,119.7043,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-04,119.5592,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-05,120.0068,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-06,119.8577,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-09,120.4972,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-10,120.7742,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-11,120.3925,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-12,121.2796,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-13,120.8442,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-16,120.6881,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-17,119.8871,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-18,120.0274,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-19,119.4278,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-20,119.3677,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-23,118.7169,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-24,118.6245,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-25,118.9598,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-26,118.7687,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-27,118.2834,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-05-31,118.0704,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-01,118.6954,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-02,118.0658,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-03,118.2153,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-06,118.3081,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-07,118.4414,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-08,118.3951,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-09,118.9226,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-10,119.9981,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-13,121.1523,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-14,121.6669,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-15,121.6403,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-16,120.6714,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-17,121.2369,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-21,120.6427,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-22,120.5197,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-23,120.7622,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-24,120.4853,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-27,120.1736,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-28,120.62,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-29,120.9616,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-06-30,120.9652,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-01,121.5058,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-05,122.6203,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-06,123.0073,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-07,122.7257,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-08,122.4662,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-11,123.2974,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-12,123.4524,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-13,123.2834,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-14,124.0622,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-15,123.4765,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-18,122.7727,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-19,122.4819,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-20,122.5997,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-21,122.9032,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-22,122.451,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-25,122.4594,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-26,122.7581,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-27,122.8169,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-28,122.1161,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-07-29,121.7678,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-01,121.4109,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-02,121.9486,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-03,122.3888,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-04,121.8333,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-05,122.321,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-08,121.8783,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-09,121.8614,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-10,120.7543,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-11,120.7163,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-12,121.018,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-15,121.4315,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-16,121.6807,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-17,122.0711,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-18,122.3627,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-19,123.0501,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-22,123.605,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-23,123.0547,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-24,123.109,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-25,123.0586,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-26,123.0656,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-29,123.4686,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-30,123.6848,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-08-31,123.535,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-01,124.4006,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-02,123.7743,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-06,124.767,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-07,124.8408,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-08,124.578,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-09,123.7874,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-12,123.3332,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-13,124.4242,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-14,124.4509,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-15,124.8843,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-16,124.8794,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-19,125.0104,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-20,125.1248,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-21,125.7399,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-22,126.1667,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-23,127.2853,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-26,128.4539,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-27,128.4386,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-28,128.0884,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-29,127.5437,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-09-30,127.5148,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-03,127.0813,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-04,126.1819,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-05,126.8616,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-06,127.2493,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-07,127.3111,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-11,127.6641,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-12,128.1481,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-13,127.7286,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-14,128.3325,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-17,127.6448,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-18,127.9153,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-19,128.3968,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-20,128.0052,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-21,127.6735,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-24,128.0304,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-25,127.3771,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-26,126.4723,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-27,126.7028,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-28,127.2135,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-10-31,127.6219,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-01,127.3987,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-02,127.3115,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-03,128.1743,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-04,127.1468,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-07,126.3062,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-08,125.633,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-09,125.9861,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-10,124.7044,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-14,123.4277,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-15,123.039,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-16,123.2817,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-17,123.977,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-18,123.8524,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-21,124.7009,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-22,124.2365,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-23,123.7574,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-25,123.3386,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-28,123.6032,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-29,123.6615,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-11-30,123.5175,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-01,122.0045,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-02,122.0102,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-05,122.6384,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-06,123.0191,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-07,122.7608,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-08,122.4152,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-09,122.4201,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-12,122.7714,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-13,121.8493,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-14,121.8226,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-15,122.5519,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-16,122.6505,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-19,122.5275,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-20,122.1357,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-21,122.2828,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-22,122.2419,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-23,121.9743,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-27,121.7539,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-28,122.0075,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-29,121.6577,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-12-30,121.4256,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-03,122.0905,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-04,121.5008,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-05,122.1017,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-06,121.0852,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-09,120.1508,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-10,120.2483,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-11,120.1614,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-12,119.4218,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-13,119.1673,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-17,119.2121,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-18,119.0755,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-19,119.6107,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-20,119.3486,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-23,119.1434,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-24,119.0958,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-25,118.9686,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-26,119.021,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-27,118.9223,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-30,118.8953,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-01-31,118.9802,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-01,118.6259,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-02,118.3421,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-03,119.5095,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-06,120.541,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-07,120.3475,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-08,120.1436,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-09,119.9781,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-10,120.1419,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-13,119.9828,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-14,119.9229,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-15,120.4557,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-16,120.4651,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-17,120.5526,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-21,120.6256,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-22,120.8389,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-23,121.0896,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-24,121.5681,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-27,121.3941,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-02-28,121.3341,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-01,120.6347,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-02,121.1302,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-03,120.7742,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-06,120.485,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-07,121.4623,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-08,121.4511,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-09,121.4458,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-10,121.2421,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-13,120.8897,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-14,121.0141,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-15,122.1079,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-16,121.7221,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-17,121.5643,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-20,121.0141,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-21,120.8958,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-22,120.6217,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-23,119.7587,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-24,120.4598,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-27,120.2541,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-28,119.7138,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-29,119.7258,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-30,119.4078,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-03-31,119.3602,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-03,119.3204,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-04,119.142,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-05,119.2953,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-06,119.3072,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-07,119.3547,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-10,119.7948,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-11,119.5248,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-12,119.003,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-13,118.3915,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-14,118.8567,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-17,119.2787,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-18,119.1049,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-19,119.303,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-20,119.1199,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-21,119.3117,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-24,119.2039,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-25,119.613,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-26,119.3228,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-27,119.4298,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-04-28,119.2248,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-01,119.4435,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-02,119.6105,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-03,119.1233,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-04,119.0465,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-05,118.5548,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-08,118.5759,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-09,118.8239,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-10,118.5864,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-11,119.0303,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-12,119.3671,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-15,119.1608,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-16,119.1743,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-17,119.607,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-18,120.0886,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-19,119.7751,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-22,120.0875,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-23,120.3204,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-24,120.4752,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-25,120.8413,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-26,120.6304,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2023-05-30,120.5546,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
