"archive_asset_id","archive_run_id","download_status","evidence_grade","redistribution_scope","local_path","sha256","replacement_source","target_table","reuse_decision","revalidation_required"
"LCL-0011","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/调研方向与跨国企业筛选报告.md","be0edfc04bfff8569793ca7f38258694192c192ca55accffb6dd3b253f9138ad","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0012","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/01_1929大萧条/案例档案.md","957431b19084505f08005bbeee7927dfd21d0a0c473409b517142ea82e00cf92","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0013","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/02_1933罗斯福黄金新政/案例档案.md","41c175c310fa25d47387304827f48cfaa455bf36835c16ae315400ca68587274","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0014","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/03_1971布雷顿森林解体/案例档案.md","60cf5753a3aea3ea5f4ef82eb3031587a39509722f38a9b86a451d2685d40f10","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0015","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/04_1973-1980滞胀大牛市/案例档案.md","0c1aaedf791fe58dead1c9f122b52f95a682fdba0d2b63e9f71c48f169e7d087","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0016","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/06_1987黑色星期一/案例档案.md","636509e5f9c15a3b4e02ecbf00ba93ebb5e62d6811f2ddd2838c1eeca200b113","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0017","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/07_1997亚洲金融危机/案例档案.md","46a87119a61e3db5bbaeb6d675567fab247db48663ced81ded9031084d3ca78d","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0018","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/08_2000互联网泡沫/案例档案.md","4bdebdb6a3168476ab6369fe8d86331bae90e2c7108bba85ee17410c3fc3c7f8","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0019","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/09_2008全球金融危机/案例档案.md","22426a399cbebdf82f29c0e1eaf6e68ca064377bc61652494d8476e0877ab9b9","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0020","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/10_1990日本资产泡沫破裂/案例档案.md","e98534562a7563247fcaae993ad008ac6fc44de3e7fa9a70a551ac739e1c378e","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0021","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/11_1994墨西哥龙舌兰危机/案例档案.md","e4eb351fdcd1418ec31d724c1a48ab4db0b3ae2822b2183353cdc682f081182c","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0022","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/11_2013黄金暴跌（反面案例）/案例档案.md","38d5d21f2096ca496954e7dcf5b8d45785d8b61b249149cc877622bc40c31aa5","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0023","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/12_1998俄罗斯金融危机/案例档案.md","57c13ca0555fb0fc44e43e8c083d6dcc0b9ee065b5a243615f2bf02d1debf67b","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0024","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/13_2001阿根廷债务危机/案例档案.md","8267298becbfdecdfa572bc34c8f7015eff68d87b37331d58ac9255aa1d6037f","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0025","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/14_2010欧洲主权债务危机/案例档案.md","b27e887e2ffb6fbc007314dbc8c6bf4a2cbea98cb76de09739dd7d97c2bfcf45","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0026","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/15_2020疫情全球市场崩盘/案例档案.md","d21febed31c850aab61f9e2cf48107dcdad9e7e07277c17addb5e47be22721ff","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0027","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/16_2022美联储激进加息周期/案例档案.md","77f24ccb455a254f69286b92f59dfb957c8cb2ad7ad8488207a40cf80e613b11","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0028","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/宏观危机篇/17_1980-2000黄金熊市_反面案例/案例档案.md","d92d60172efe85bada598866efa8fc42c7c64ad23880c5dc5424d531d569f207","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0029","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/01_1923魏玛德国恶性通胀/案例档案.md","f34a4641742966560eac4994f896f32377e74cf851530e2e51ad0ea244d8a6f6","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0030","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/02_2008津巴布韦恶性通胀/案例档案.md","ff098f04bd6fbf7a37b53188a75cffc3e3a87bc9d513a5cb6e51762df9b3d6c3","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0031","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/03_2015-2021委内瑞拉玻利瓦尔/案例档案.md","72556782a7a38430e3e41d195b2a1d078a91505d1e5627deee3adab87c7c747a","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0032","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/04_2018土耳其里拉危机/案例档案.md","547c9d7278800bda1e49ebcd5c413fb44a490199a5ef18153090919efdb52212","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0033","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/05_2019-2023黎巴嫩镑崩溃/案例档案.md","dea2e3120bf55e879cc9c7243d2ca2c8040b97d1d19eecaaa6040752c8dce8c1","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0034","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/06_2022-2024尼日利亚奈拉崩溃/案例档案.md","c676fc774e9f49c55769451058253fb211303c5bd26dea5d3617dadcd884121a","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0035","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/07_2022-2024埃及镑贬值/案例档案.md","25abdbce17628fda39125f440080675ea49ef5d80ccb47136cc6b4cd99ecc456","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0036","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/08_2010-2025伊朗里亚尔/案例档案.md","5b0b15bba05447c6260579521e3b79e694378bbd1d4fb917002aec93447e4525","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0037","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/09_2023-2024阿根廷比索危机/案例档案.md","af8a8be173e55c69a061d17635cb8f9d29360174ffc019ca1a02c2a034ce017b","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0038","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/货币崩溃篇/10_1998俄罗斯卢布危机/案例档案.md","95092cf2c9a439299add44aa7397c2ab17320549fd544996691483f5850b31d5","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0039","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/01_MTN尼日利亚/案例档案.md","3e8562d7f2430a9784c9e38eedd4541a278849bf66907e4c2984cd00394363d3","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0040","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/02_雀巢尼日利亚/案例档案.md","df56673629223d3ed6ff685757ab7582ba2f3f414e68673dd851b481f0c51fe4","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0041","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/03_ABInBev阿根廷/案例档案.md","bb37d9c9f676f8b9787f7e3879f8eabe247b64f1054713338dd96a5fad6a8db8","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0042","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/04_传音控股/案例档案.md","5e9a59c62da3cb61058c8228f190fe9d6dd25bdb57f5809ff184b2f2c7114acd","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0043","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/05_华为/案例档案.md","4179be7f02249498fa10ff8d5f4d764aea2516a44b886ecfb1a167b94207e21f","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0044","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/06_雷诺法兴俄罗斯退出/案例档案.md","ec8c0df254eccec274ca653b9262554bd98dec52d68d0e56a284932782b7e47d","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0045","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/07_IATA航司被困资金/案例档案.md","4d7670c31db201f252d1019b39e5704ab0489e1dd609f99a05bfb6ca90460204","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0046","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/08_Palantir黑天鹅黄金/案例档案.md","5ffebe5c13edc33cf009e1cb653c8a42a438b99ba5e7b4defaea0c839f1a22ba","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0047","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/09_Tether黄金储备/案例档案.md","bd6ff04a06f0ba260392c74350a38ca8a9ce9e34a11c5c3da42fa68bd39c7230","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0048","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/微观企业篇/10_中国黄金会计错配_反面/案例档案.md","d83dfd7c8f2fa7efe070a80465d5813824a087e7f4baf7ec1969b67e90b4ee57","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0049","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/README_案例库总览.md","f1e4bf31de5a03501bf477c95f8be48bb860115589ab8c464abbf21cd89379cc","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0050","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/方案整合与实施路径/方案整合与实施路径.pdf","88a7b97b7afd4bcda622d0cf510c7d772a2e1a8891fc3273d48965e036051ff8","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0051","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/方案整合与实施路径/方案整合与实施路径.tex","43c046224dbfe9a6fba1b674f16937469f6f5313587b491864aa8ea80a7ef740","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0052","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/方案整合与实施路径/build/方案整合与实施路径.pdf","038613ed2177f92bf58b02c872c3ccefe3671eefbbf4ae6e36551fd0af86ffbf","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0053","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/01_项目可行性研究与参赛方案书.pdf","42f7992ea729ec4589013232c9d1d1b782f3aa70b8d3f44df6f180a86b5e3815","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0054","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/01_项目可行性研究与参赛方案书.tex","6c7d13e45b64e9db6e6fb712ad610ae9931e13f59ea645d61b667ba577375a91","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0055","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/02_项目执行与协作手册.pdf","540d8960b43c2b101c231dc96dc44c82bb0ac4be57990983e9ee037f3ca51807","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0056","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/02_项目执行与协作手册.tex","8eef1e280ff443b2da39cf68de499d64b417fb5a960bcc1d2fd279d2311276bd","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0057","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/03_多币种流动性与黄金战略储备周期配置计划书.pdf","b79b704b604e4c325b87ec06b8648655b112f6d13db8131e10072836b90de63f","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0058","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/03_多币种流动性与黄金战略储备周期配置计划书.tex","797bbb635ba521647a7e0f693072c51876b1dca2d444cbb783812bccadd86587","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0059","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/04_亚非拉国别风险与多币种储备智能决策平台总计划书.pdf","b7de5841fb32949c2d732ffaf9c1488129bdf67262c5f1582cf8e7e5c7808e07","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0060","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/04_亚非拉国别风险与多币种储备智能决策平台总计划书.tex","b995764d6208f736317ad9a8fa72c56a105fb79ed54f9a04c9ae5e8b026fd56a","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0061","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/05_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书.pdf","1e8cb0972e07006264dfbc577f2be7b8749e8bc37a2c2cd40c4a47bdef855b0a","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0062","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/05_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书.tex","17b6c8dce3637ba949c1583ff2d7f788053b3591ca3b1987f49956b99d79c293","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0063","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图_预览.png","77d10ec3570889fe99489585404284555d7a7ba0058c848952edb49657493c72","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0064","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图.mmd","29f1d9c703e077fec2db8f332c5ebb112daa90ba8ddd4cdb73bc88f23366bcab","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0065","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图.svg","66f1c1a910bdbb50d2649ec78bdecb1eed1f22361ff8f72b92a8f7d7e16cd83b","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0066","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程_预览.png","c7319fa95831f06e5a54c447125201296112e42c580ac16db6cc05aa40d3b95a","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0067","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程.mmd","711cc530a4726cebdb0db425f2ea961deae6b8e4b44dfb0e127bf0859aa04192","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0068","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程.svg","85b22d183d1e48bcc5362f0c6f803bdea1f2d776ceeb31230e332ca8aba1f5c1","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0069","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V4.0_全球经济周期与系统性危机全流程_预览.png","7b38aba0e33678157c6eb49a3a350d3013af4c2f4abd5a522ca30fe8018da762","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0070","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V4.0_全球经济周期与系统性危机全流程.mmd","c89d3beea7406f701a5684d2fece05bb2a26b4afe312b1e09c28d15e7a4a72f1","","source_registry","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
